Name,Price,Price (Per Area),Size (Floor),Size (Land),Location,Bedrooms,Bathrooms,Type of Property,URL
Masera (Bungalow),"RM 18,000,000","1,204.01","8,135 sqft (lantai),","14,950 (land)","8 Jalan Bukit Segar, Cheras, Selangor",7,8,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/masera-bungalow-untuk-dijual-oleh-terrance-leong-42407624
Bandar Sungai Long,"RM 6,280,000",287.41,"4,500 sqft (lantai),","21,850 (land)","Bandar Sungai Long, Selangor",5,5,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/bandar-sungai-long-untuk-dijual-oleh-shanny-tan-40224557
Bungalow at Sri Petaling,"RM 4,700,000",489.58,"4,870 sqft (lantai),","9,600 (land)","Jalan sri petaling 1, Bandar Baru Sri Petaling, Sri Petaling, Kuala Lumpur",5,5,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/bungalow-at-sri-petaling-untuk-dijual-oleh-rizamudin-mugeni-42437344
Sri Bukit Persekutuan,"RM 8,000,000","1,083.86","7,000 sqft (lantai),","7,381 (land)","Persiaran Persekutuan, Bukit Persekutuan, Bangsar, Kuala Lumpur",6,6,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/sri-bukit-persekutuan-untuk-dijual-oleh-john-thong-42926663
Nusa Duta 3,"RM 2,550,000",510,"4,377 sqft (lantai),","5,000 (land)","Jalan Nusa Duta, Nusa Duta, Iskandar Puteri (Nusajaya), Johor",5,6,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/nusa-duta-3-untuk-dijual-oleh-daniel-tan-42671496
damansara heights,"RM 4,900,000",544.57,"4,500 sqft (lantai),","8,998 (land)","Damansara Heights, Kuala Lumpur",5,5,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/damansara-heights-untuk-dijual-oleh-james-thong-39775273
Tanjung Bungah Bungalow For Sale,"RM 2,800,000",445.65,"2,500 sqft (lantai),","6,283 (land)","Tanjung Bungah, Penang",3,3,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/tanjung-bungah-bungalow-for-sale-untuk-dijual-oleh-mable-ong-42793897
Pulau Tikus Huge Bungalow For sale,"RM 9,000,000",803.21,"4,000 sqft (lantai),","11,205 (land)","Taman Gottlieb, Pulau Tikus, Penang",5,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/pulau-tikus-huge-bungalow-for-sale-untuk-dijual-oleh-mable-ong-42793768
[Ready Move In KL Freehold Condo] [Foreigner can buy] [Zero Downpayment] [Furnished Unit],"RM 650,000",N/A,"1,400 sqft","1,400","Bukit Bintang, KL City Centre, Kuala Lumpur",3,2,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/ready-move-in-kl-freehold-condo-foreigner-can-buy-zero-downpayment-furnished-unit-untuk-dijual-oleh-leon-chia-42856121
[Big Layout Sky Double Storey Condo] [3-4Room 1800sqft ++] [Monthly RM2000 + furnished],"RM 550,000",N/A,"1,300 sqft","1,300","Serdang, Seri Kembangan, Selangor",3,2,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/big-layout-sky-double-storey-condo-3-4room-1800sqft-monthly-rm2000-furnished-untuk-dijual-oleh-leon-chia-42853728
Taman SEA,"RM 1,799,900",399.98,"1,800 sqft (lantai),","4,500 (land)","Lorong SS 23/6d, Taman Sea, Petaling Jaya, Selangor",4,3,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/taman-sea-untuk-dijual-oleh-christopher-saw-40225349
"Laman Permai, U5 /95 Subang Bestari, Shah Alam","RM 2,600,000",397.07,"4,372 sqft (lantai),","6,548 (land)","Subang Bestari, Shah Alam, Selangor",6,7,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/laman-permai-u5-95-subang-bestari-shah-alam-untuk-dijual-oleh-sherron-sim-42739403
Ledang Heights,"RM 5,250,000",516.68,"4,400 sqft (lantai),","10,161 (land)","Iskandar Puteri (Nusajaya), Johor",6,6,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/ledang-heights-untuk-dijual-oleh-benson-nec-42867825
Jalan Alor Akar,"RM 1,400,000",114.17,"4,124 sqft (lantai),","12,262 (land)","Alor Akar, Kuantan, Pahang",7,6,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/jalan-alor-akar-untuk-dijual-oleh-mohd-zamri-mohd-duyalmi-42924324
Taman Tun Dr Ismail,"RM 6,500,000",811.38,"4,607 sqft (lantai),","8,011 (land)","Zaaba (Guarded), Taman Tun Dr Ismail, Kuala Lumpur",6,6,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/taman-tun-dr-ismail-untuk-dijual-oleh-yin-peng-39861921
Bungalow Jalan Bunga Raya Seksyen 2 Shah Alam,"RM 1,500,000",205.48,"5,600 sqft (lantai),","7,300 (land)","Bungalow Jalan Bunga Raya Seksyen 2 Shah Alam, Seksyen 2, Shah Alam, Selangor",6,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/bungalow-jalan-bunga-raya-seksyen-2-shah-alam-untuk-dijual-oleh-izzah-alias-42864917
Taman TAR,"RM 2,400,000",285.71,"3,256 sqft (lantai),","8,400 (land)","Jalan 4/1 Taman Tun Abdul Razak, Ampang, Selangor",6,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/taman-tar-untuk-dijual-oleh-izzah-alias-42865695
Leisure Farm,"RM 7,000,000",204.5,"3,500 sqft (lantai),","34,230 (land)","Jalan Tanjung Kupang, Iskandar Puteri (Nusajaya), Johor",4,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/leisure-farm-untuk-dijual-oleh-chua-yek-shin-42528186
Taman Yarl,"RM 4,500,000",200.89,"5,000 sqft (lantai),","22,400 (land)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur",5,4,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/taman-yarl-untuk-dijual-oleh-kenny-choo-42047497
Alam sutera Bukit Jalil,"RM 4,800,000",707.03,"6,000 sqft (lantai),","6,789 (land)","Alam sutera, Bukit Jalil, Kuala Lumpur",8,9,Rumah Banglo,https://www.propertyguru.com.my/bm/senarai-hartanah/alam-sutera-bukit-jalil-untuk-dijual-oleh-jane-shoo-41738094
